,namespace,Métrica 1,Métrica 2,Métrica 3,Métrica 4,Métrica 5
0,adrianochan,24.78,0.63,0.18,4.11,0.04
1,amadeus,223.7,67.58,2.39,26.33,0.53
2,ceespacolivre,102.52,33.55,0.19,10.48,0.74
3,ciadosaber,196.26,2.41,4.5,4.09,0.0
4,colegiobetelbrasileirosp,15.12,7.19,0.14,0.48,0.0
5,colegiobilac,432.8,41.2,5.5,0.8,0.0
6,colegiobrasilia,758.92,46.76,38.91,20.7,0.06
7,colegioecursoprogressao,59.53,0.9,0.09,9.56,0.14
8,colegiofuturageracao,251.92,109.69,0.69,0.0,0.0
9,colegioglobal,139.48,21.55,0.52,25.58,0.08
10,colegioguilhermedealmeida,68.36,28.2,0.73,10.42,0.06
11,colegioiguatemy,179.6,34.26,4.97,28.23,0.76
12,colegiointegral,541.29,14.52,5.95,96.11,3.41
13,colegiopremiumgentil,38.17,0.17,0.0,1.67,0.0
14,colegiosete,386.06,21.41,6.44,67.69,0.12
15,colegiouniverso,305.4,21.25,0.0,22.7,0.15
16,conexaosaber,439.18,241.09,20.18,6.36,0.55
17,cursoleopoldo,31.8,0.0,0.0,13.4,0.0
18,eacorcovado,122.7,36.48,2.89,16.55,0.11
19,eluneonline,0.0,0.0,0.0,0.0,0.0
20,isem,81.31,35.83,0.52,0.38,0.21
21,magister,75.67,7.53,10.4,16.33,0.0
22,maplebearslz,286.2,12.95,2.02,10.24,0.29
23,objetivolorena,71.06,5.42,0.08,3.94,0.11
24,oficinadoestudante,181.12,8.93,2.49,7.69,0.05
25,pioxi,39.58,2.5,0.08,1.8,0.01
