,namespace,Métrica A.As,Métrica Rela S.Exs,Métrica Rela Cadernos,Métricas Relátorios ADs,Metrica Relátorios Mensais
0,adrianochan,2.59,0.65,20.61,0.0,2.0
1,amadeus,21.86,1.44,10.07,0.0,19.0
2,ceespacolivre,3.87,0.1,2.39,0.0,0.0
3,ciadosaber,9.25,0.06,4.38,0.0,0.0
4,colegiobetelbrasileirosp,10.74,0.38,2.54,0.0,0.83
5,colegiobilac,9.64,4.9,4.8,0.0,0.17
6,colegiobrasilia,56.37,0.74,70.33,0.0,4.38
7,colegioecursoprogressao,5.33,0.58,2.33,0.0,0.0
8,colegiofuturageracao,7.44,0.49,13.25,0.0,0.67
9,colegioglobal,5.18,0.38,1.47,0.0,0.0
10,colegioguilhermedealmeida,0.12,12.79,10.82,0.0,4.67
11,colegioiguatemy,4.73,1.87,14.7,0.0,5.33
12,colegiointegral,4.12,0.35,1.19,0.0,0.17
13,colegiopremiumgentil,0.02,0.0,1.32,0.0,2.67
14,colegiosete,4.84,0.97,6.67,50.0,33.33
15,colegiouniverso,1.17,0.42,1.38,0.0,0.0
16,conexaosaber,13.36,0.03,5.13,0.0,0.33
17,cursoleopoldo,0.03,0.0,0.43,0.0,0.0
18,eacorcovado,1.64,1.59,17.42,22.67,4.4
19,isem,4.02,0.08,4.0,0.0,3.0
20,objetivolorena,25.84,0.87,9.87,0.0,0.83
21,oficinadoestudante,6.92,0.4,4.2,0.0,0.0
22,pioxi,9.54,0.1,13.24,0.0,13.33
23,eluneonline,0.0,0.0,0.0,0.0,0.0
24,magister,0.0,0.0,0.0,0.0,0.0
25,maplebearslz,0.0,0.0,0.0,0.0,0.0
