,namespace,Variação n° alunos,variação conteudos A.A%,variação interações A.A%,variação conteudos%,variação interações%,variação conteudos videos%,variação interações videos%
0,eluneonline,-0.5,-0.93,-0.5,0.0,0.0,0.0,0.0
1,colegiofuturageracao,-0.38,0.2,0.08,-0.47,-0.62,-0.67,-0.91
2,objetivolorena,-0.26,0.53,5.35,-0.47,-0.58,-0.53,-0.43
3,eacorcovado,-0.26,0.63,-0.22,-0.37,0.02,-0.62,-0.43
4,colegiouniverso,-0.19,0.75,0.05,-0.49,-0.33,-0.5,1.31
5,colegiobetelbrasileirosp,-0.14,0.2,0.47,-0.17,-0.47,-0.03,-0.57
6,colegiobrasilia,-0.14,0.35,0.68,1.49,0.01,0.95,-0.4
7,colegioecursoprogressao,-0.11,0.17,0.74,-0.57,-0.73,-0.7,-0.98
8,ciadosaber,-0.08,0.12,0.83,-0.56,-0.21,-0.69,-0.04
9,colegioiguatemy,-0.04,0.32,0.61,-0.51,-0.27,-0.68,-0.66
10,colegiointegral,-0.04,0.47,0.87,1.95,-0.26,1.19,-0.65
11,amadeus,-0.03,0.32,0.65,0.05,-0.39,-0.35,-0.88
12,magister,-0.03,0.27,-0.34,0.0,0.0,0.0,0.0
13,oficinadoestudante,-0.02,0.12,-0.37,-0.59,-0.62,-0.65,-0.5
14,adrianochan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,maplebearslz,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,colegiopremiumgentil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,colegioguilhermedealmeida,0.01,0.29,-0.76,-0.42,-0.37,-0.62,-0.72
18,colegiosete,0.01,0.07,0.08,-0.45,-0.03,-0.66,-0.44
19,pioxi,0.05,0.47,1.05,-0.4,-0.26,-0.53,-0.18
20,cursoleopoldo,0.14,-0.85,-0.58,-0.59,-0.69,-0.7,-0.71
21,conexaosaber,0.22,0.35,1.55,-0.57,0.06,-0.75,-0.7
22,isem,0.26,0.27,0.58,-0.53,0.13,-0.67,-0.55
23,colegiobilac,0.36,0.47,0.46,-0.66,0.14,-0.76,-0.49
24,ceespacolivre,0.58,-0.02,1.71,-0.25,-0.22,-0.31,-0.48
25,colegioglobal,8.23,4.23,217.8,3.26,60.6,0.0,0.0
