,namespace,Variação n° alunos,variação conteudos A.A%,variação interações A.A%,variação conteudos%,variação interações%,variação conteudos videos%,variação interações videos%
0,eluneonline,-0.5,-0.93,-0.5,0.0,0.0,0.0,0.0
1,colegiofuturageracao,-0.21,0.11,0.04,-0.26,-0.35,-0.38,-0.51
2,objetivolorena,-0.21,0.42,4.23,-0.37,-0.46,-0.42,-0.34
3,eacorcovado,-0.21,0.5,-0.18,-0.3,0.02,-0.5,-0.34
4,colegiouniverso,-0.18,0.7,0.05,-0.46,-0.31,-0.47,1.23
5,colegiobetelbrasileirosp,-0.11,0.16,0.38,-0.14,-0.38,-0.02,-0.46
6,colegiobrasilia,-0.14,0.35,0.68,1.49,0.01,0.95,-0.4
7,colegioecursoprogressao,-0.1,0.16,0.7,-0.54,-0.69,-0.66,-0.92
8,ciadosaber,-0.08,0.11,0.79,-0.53,-0.2,-0.66,-0.04
9,colegioiguatemy,-0.02,0.19,0.37,-0.31,-0.16,-0.41,-0.4
10,colegiointegral,-0.04,0.47,0.87,1.95,-0.26,1.19,-0.65
11,amadeus,-0.03,0.32,0.65,0.05,-0.39,-0.35,-0.88
12,magister,-0.0,0.04,-0.04,0.0,0.0,0.0,0.0
13,oficinadoestudante,-0.01,0.08,-0.26,-0.41,-0.43,-0.45,-0.34
14,adrianochan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,maplebearslz,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,colegiopremiumgentil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,colegioguilhermedealmeida,0.01,0.29,-0.76,-0.42,-0.37,-0.62,-0.72
18,colegiosete,0.01,0.07,0.08,-0.44,-0.03,-0.64,-0.43
19,pioxi,0.03,0.32,0.71,-0.27,-0.18,-0.36,-0.12
20,cursoleopoldo,0.12,-0.76,-0.52,-0.53,-0.61,-0.62,-0.63
21,conexaosaber,0.12,0.19,0.82,-0.3,0.03,-0.4,-0.37
22,isem,0.24,0.25,0.54,-0.49,0.12,-0.62,-0.51
23,colegiobilac,0.34,0.45,0.44,-0.63,0.13,-0.72,-0.47
24,ceespacolivre,0.5,-0.02,1.47,-0.22,-0.19,-0.27,-0.41
25,colegioglobal,0.25,0.13,6.53,0.1,1.82,0.0,0.0
